date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,flu contagious period,treating the flu,flu children,incubation period for flu,how long contagious,i have the flu,low body,treat the flu,is the flu contagious,do i have the flu,flu shot,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,flu symptoms 2018,human temperature,high fever,swine flu symptoms,medicine for flu,flu treatments,cold vs flu,influenza type a,influenza symptoms,the flu virus,how to treat flu,reduce fever,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,fever flu,stomach flu,how long does flu last,swine flu,over the counter flu,contagious flu,what to do if you have the flu,flu report,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,flu map,treatment for flu,cdc flu,exposed to flu,flu symptoms 2019,keto flu,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,oscillococcinum,flu medicine,flu remedies,flu shot side effects,flu complications,treat flu,how to get rid of the flu,body temperature
2013-08-01,10,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,5,0,5,14,0,0,0,0,0,0,0,55,0,23,23,23,0,0,0,6,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,17,0,0,0,0,0,11,0,0,0,0,0,0,0,22,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2013-09-01,18,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,31,0,0,0,0,15,0,0,0,0,0,41,0,0,0,32
2013-10-01,27,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,13,11,0,14,0,14,0,0,0,50,0,21,0,21,0,0,0,37,0,0,0,0,0,0,0,14,14,0,0,0,0,16,0,0,0,0,0,0,0,10,10,0,0,0,27,0,0,0,41,0,0,0,0,22,0,0,30,0,0,0,0,0,27,25,0,0,0,20,20,20,0,0,0,30
2013-11-01,29,0,0,0,0,0,0,0,0,0,0,0,0,55,5,0,0,0,16,20,0,0,0,14,0,0,0,0,0,22,0,22,0,0,0,28,0,47,0,0,0,0,0,15,0,0,0,47,0,16,0,0,0,0,0,25,0,0,32,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,20,0,20,0,0,0,16
2013-12-01,21,0,0,0,0,0,0,0,0,0,0,0,0,33,9,9,5,4,17,13,0,0,0,27,0,0,0,0,0,0,0,21,0,0,0,13,0,45,0,0,0,0,14,29,14,0,0,45,0,16,0,0,0,0,0,0,0,10,20,10,10,0,0,0,27,0,20,20,0,0,22,22,0,30,29,0,0,0,0,0,0,46,0,7,7,0,39,0,0,0,0,0
2014-01-01,47,0,0,43,0,0,0,0,0,0,0,68,0,57,0,0,4,4,34,30,0,64,25,38,0,0,0,0,0,39,0,20,0,0,0,10,0,42,0,42,42,0,0,0,0,0,0,42,0,51,0,0,15,0,22,44,0,47,24,9,19,0,25,0,0,0,38,19,0,0,20,100,0,28,28,0,0,0,0,0,25,36,0,0,7,0,36,0,0,0,0,28
2014-02-01,22,0,0,0,0,0,0,0,0,0,0,0,0,89,5,0,0,0,13,9,0,14,0,14,0,0,0,0,0,89,0,67,0,0,0,6,0,0,0,0,0,0,22,0,15,0,0,0,0,17,0,0,0,0,0,25,0,11,16,0,0,0,0,0,0,0,63,0,0,0,23,23,0,31,31,0,0,0,0,0,0,26,0,15,7,20,31,0,0,0,0,64
2014-03-01,14,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,18,8,4,25,0,13,0,0,0,0,0,30,0,20,0,0,0,0,0,42,0,0,42,0,13,13,0,0,0,42,0,15,15,0,0,0,0,0,0,9,33,0,10,0,0,0,0,0,28,0,0,0,0,20,0,27,0,0,0,0,0,0,0,30,0,7,0,0,0,0,0,0,0,35
2014-04-01,17,0,0,0,0,0,0,0,0,0,0,0,0,33,5,5,0,0,17,11,0,13,0,0,0,0,0,0,0,0,0,21,0,5,0,0,0,44,0,0,0,0,14,28,0,0,0,44,0,0,31,0,16,0,0,23,0,10,15,10,0,0,0,0,0,0,100,0,0,0,0,21,0,29,29,0,0,0,0,0,0,10,0,0,7,0,0,0,0,0,0,45
2014-05-01,6,0,0,0,0,0,0,0,0,0,0,0,0,56,0,10,0,0,0,12,5,0,0,15,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,22,0,0,0,0,23,0,0,32,0,32,0,0,0,0,19,0,0,0,0,0,0,0,0,0,41
2014-06-01,9,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,39,0,26,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,12,0,0,0,0,34,0,0,0,25,0,0,0,0,26,0,0,0,0,0,0,0,0,34,0,0,0,0,0,24,0,0,0,0,18
2014-07-01,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,6,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,23,0,0,0,0,0,0,0,34,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,17
2014-08-01,9,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,17
2014-09-01,19,0,0,49,0,0,0,0,0,0,0,0,0,30,0,5,0,0,7,14,0,14,0,14,0,0,0,53,0,45,0,22,0,0,0,25,0,0,0,95,0,0,0,15,0,48,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,29,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,29,26,0,0,0,21,0,0,0,0,0,32
