date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,flu symptoms 2018,human temperature,high fever,spanish flu,medicine for flu,flu treatments,cold vs flu,dog flu,fight the flu,influenza symptoms,the flu virus,reduce fever,type a influenza,1918 flu,influenza incubation period,walgreens flu shot,normal body temperature,how to treat the flu,how long does the flu last,stomach flu,how long does flu last,swine flu,flu cough,contagious flu,what to do if you have the flu,flu report,signs of flu,flu in delaware,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,flu map,treatment for flu,cdc flu,exposed to flu,keto flu,flu contagious,flu length,get over the flu,symptoms of bronchitis,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature
2013-09-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3,4,6,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,25,0,0,29,0,0,0,0,0,0,0,53,26,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
2013-10-01,13,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,9,4,0,10,0,10,0,0,0,0,0,24,0,48,0,0,0,60,0,0,0,30,0,0,42,28,0,0,0,0,0,0,0,0,0,0,0,0,35,47,0,0,13,0,0,0,29,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,36
2013-11-01,10,0,0,27,0,0,0,0,0,0,0,0,0,0,23,8,0,0,0,8,4,0,10,0,10,0,0,0,26,0,49,0,24,0,0,0,20,0,0,0,0,0,0,14,14,27,0,0,0,0,0,0,0,0,0,0,0,24,48,0,0,20,0,14,0,30,0,0,0,0,76,0,0,0,0,26,0,53,0,0,0,0,0,49,0,0,0,0,0,0,100,0,0,0,18
2013-12-01,9,0,0,41,0,0,0,0,0,0,0,0,0,0,23,6,0,0,0,5,8,0,7,8,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,11,0,41,20,0,0,0,0,0,0,0,0,0,0,36,18,0,18,10,0,10,0,23,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,0,37,0,0,0,0,0,0,25,0,0,0,34
2014-01-01,15,0,0,0,0,0,0,0,0,0,0,0,62,0,35,6,6,0,0,12,14,0,8,0,8,20,0,0,0,0,19,0,0,5,0,0,29,0,0,0,0,0,0,11,11,21,21,0,0,0,0,0,20,0,0,0,0,0,19,0,0,32,0,32,0,24,0,0,0,0,39,0,0,0,0,0,0,0,63,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,99
2014-02-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,0,0,0,6,4,0,9,0,14,0,0,0,0,0,45,23,45,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,22,0,0,32,0,13,0,0,0,0,0,0,47,23,0,0,0,0,0,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
2014-03-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,62,6,12,0,0,5,11,0,8,0,0,43,0,0,0,0,20,20,20,5,0,0,14,0,25,0,25,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,25,0,0,0,0,31,0,0,0,21,42,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,15
2014-04-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,34,14,14,0,0,5,7,0,13,9,9,23,0,0,0,0,22,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,21,0,21,18,12,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2014-05-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,7,0,0,3,0,0,18,0,9,0,0,0,0,0,45,0,22,0,5,0,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,17
2014-06-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,8,0,0,3,0,0,0,0,0,28,0,0,0,0,27,0,0,0,0,0,6,0,0,0,0,0,0,0,16,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,60
