date,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,oscillococcinum,bronchitis,contagious flu,flu fever,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,cure flu,flu vs cold,taking temperature,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,reduce fever,influenza symptoms,how long contagious,i have the flu,fever flu,swine flu,how long does the flu last,cold vs flu,thermoscan,flu treatment,the flu virus,how long does flu last,human temperature,is flu contagious,cold or flu,flu symptoms,spanish flu,body temperature,fever reducer,flu cough,how long flu,fever cough,ear thermometer
2017-06-01,9,0,17,11,28,27,8,0,0,47,0,0,0,0,0,0,46,0,0,0,0,37,0,0,0,23,0,0,0,22,0,0,0,0,0,0,44,0,0,0,0,0,17,0,12,0,0,0,0,0
2017-07-01,13,0,0,7,27,53,0,0,0,32,0,0,32,0,31,32,0,0,0,0,0,32,23,0,0,0,0,0,0,22,32,0,0,0,0,0,0,0,0,0,0,0,8,30,0,0,0,0,0,49
2017-08-01,11,21,15,13,0,0,0,21,0,36,23,38,58,23,29,58,41,0,0,0,0,46,0,0,0,21,0,73,0,20,0,38,0,0,0,0,0,36,0,29,43,0,8,28,22,0,0,21,0,0
2017-09-01,32,0,15,14,0,25,60,0,46,44,0,40,0,0,30,0,43,0,0,0,0,65,0,50,0,21,0,0,38,21,31,40,0,0,0,0,41,0,42,0,0,53,0,29,33,42,0,0,0,0
2017-10-01,42,0,22,36,25,25,68,42,0,36,34,38,29,34,44,29,0,41,0,0,0,44,22,0,0,0,48,0,36,50,0,38,0,48,0,0,40,0,0,0,43,51,31,0,44,40,0,42,0,0
2017-11-01,40,22,30,41,26,50,24,0,0,31,0,0,30,0,45,30,0,43,0,0,37,62,0,0,0,22,0,0,0,41,0,0,0,0,47,0,0,37,0,0,44,53,24,0,11,0,40,0,0,47
2017-12-01,37,0,45,27,0,25,17,0,0,42,0,38,30,0,29,30,63,0,100,0,0,63,0,0,0,21,0,0,73,40,0,38,14,0,0,0,0,36,41,29,0,52,50,28,44,0,0,0,0,46
2018-01-01,93,40,50,93,0,24,23,100,65,70,22,73,28,22,28,28,0,0,0,100,0,79,0,47,100,100,0,0,53,19,58,73,0,46,89,0,77,0,40,0,0,100,70,27,0,39,38,100,0,0
2018-02-01,100,44,70,100,0,0,28,65,47,38,71,100,46,71,91,46,43,86,0,54,37,77,23,50,97,0,0,0,76,42,0,100,0,100,48,0,42,38,43,0,67,54,100,0,11,42,41,65,0,0
2018-03-01,54,20,42,44,0,0,0,40,0,51,21,72,84,21,28,84,0,0,47,49,0,49,0,0,20,40,0,0,35,38,0,72,0,0,44,0,38,34,0,0,0,49,25,0,41,38,75,40,19,0
2018-04-01,30,21,59,52,0,49,7,0,45,54,22,38,0,22,72,0,0,0,0,0,0,59,22,47,0,62,0,0,36,40,0,38,0,0,0,0,0,36,0,0,0,0,23,28,32,0,0,0,0,0
2018-05-01,17,21,37,10,0,49,10,0,0,35,0,38,0,0,29,0,0,0,0,0,0,46,0,47,20,21,0,72,0,20,0,38,14,0,0,0,0,0,0,0,0,0,19,0,0,0,39,0,0,0
2018-06-01,11,0,30,13,0,50,7,0,0,37,0,39,30,0,29,30,0,0,0,0,0,39,0,48,0,32,32,0,0,0,31,39,0,0,0,0,0,0,0,30,0,0,0,28,11,0,0,0,0,0
2018-07-01,11,20,15,10,0,24,7,20,44,24,0,37,0,0,57,0,0,0,0,0,0,37,0,0,20,20,0,0,71,19,0,37,0,0,0,0,0,0,39,0,0,0,15,0,32,39,0,20,0,0
2018-08-01,15,20,42,0,0,0,0,20,0,23,22,0,0,22,28,0,40,0,0,0,0,31,21,0,0,20,0,0,35,19,0,0,0,0,0,0,0,0,0,0,0,0,7,0,41,0,37,20,20,0
2018-09-01,27,0,24,38,0,26,32,33,47,50,0,0,0,0,61,0,43,43,0,54,0,32,0,0,0,0,0,0,0,0,31,0,0,50,49,0,0,0,0,31,0,54,16,29,0,42,0,33,22,48
2018-10-01,69,20,28,19,0,0,87,40,0,46,22,0,28,22,28,28,39,0,0,0,0,42,0,46,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,20,0,0,40,0,0
2018-11-01,45,20,57,22,0,0,45,0,43,57,22,0,55,22,28,55,0,0,0,0,34,57,0,0,20,20,0,0,0,28,0,0,0,0,0,0,0,34,38,0,0,73,29,40,10,0,0,0,0,0
2018-12-01,30,22,48,21,0,26,18,22,0,38,24,0,31,24,62,31,0,0,0,0,0,52,23,0,0,0,0,0,38,32,0,0,0,0,49,0,0,38,0,0,0,54,24,0,35,43,41,22,0,0
2019-01-01,53,21,46,64,0,37,31,42,0,31,23,39,45,23,89,45,0,0,0,0,0,61,33,0,0,64,0,0,0,31,30,39,0,49,94,92,0,37,0,0,0,0,12,28,33,41,0,42,21,46
2019-02-01,82,23,66,88,56,0,49,93,100,87,100,85,33,100,32,33,46,92,0,0,0,79,24,53,0,46,0,81,80,100,100,85,0,53,51,0,0,0,45,32,72,57,85,62,0,45,43,93,91,0
2019-03-01,55,33,54,62,0,38,7,87,47,44,35,40,31,35,91,31,0,0,0,0,37,40,0,0,0,22,0,0,38,41,0,40,0,50,96,0,0,0,85,0,67,53,60,0,11,42,82,87,21,0
2019-04-01,16,0,47,24,0,26,7,22,48,57,24,40,0,24,46,0,43,0,0,0,0,60,23,0,0,44,0,0,0,31,0,40,0,0,0,0,0,0,0,0,0,0,12,0,46,0,0,22,0,0
2019-05-01,27,0,15,27,0,25,17,43,0,55,0,39,60,0,59,60,42,0,0,0,0,61,22,0,0,42,0,0,0,31,0,39,0,49,0,0,0,0,41,0,0,52,16,28,11,0,40,43,0,0
2019-06-01,18,21,23,13,0,0,7,32,0,37,23,77,30,23,29,30,0,0,0,0,0,39,0,0,0,21,0,0,37,31,0,77,0,48,0,0,0,0,0,0,0,0,16,0,11,0,0,32,0,0
2019-07-01,14,0,14,12,0,23,0,20,0,23,0,0,28,0,28,28,0,0,0,0,0,31,0,46,0,0,0,0,34,19,0,0,0,0,0,0,0,0,0,0,0,0,7,26,0,0,0,20,0,0
2019-08-01,9,0,28,15,0,23,6,39,0,39,21,36,28,21,0,28,39,0,0,48,0,31,0,0,0,20,0,0,0,19,28,36,0,0,43,0,0,0,38,0,0,0,14,53,0,0,0,39,0,0
