date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,flu utah,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,spanish flu,medicine for flu,cold vs flu,influenza type a,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,food poisoning,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,signs of flu,over the counter flu medicine,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,treatment for flu,cdc flu,exposed to flu,keto flu,flu contagious,flu length,get over the flu,stomach flu symptoms,flu in utah,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2013-10-01,33,0,0,0,0,16,2,0,0,58,5,5,0,0,0,2,44,11,34,0,0,15,0,0,3,19,5,16,0,5,0,5,27,7,0,3,19,0,40,0,0,0,0,24,24,15,35,20,0,0,0,0,0,0,0,0,0,29,0,23,0,18,3,27,8,10,0,20,0,0,0,36,10,16,0,21,16,14,42,14,70,0,0,8,0,0,34,34,17,13,13,0,0,0,7,71
2013-11-01,25,36,72,37,0,9,0,2,0,16,0,0,0,0,0,0,55,38,26,0,0,17,3,0,3,15,6,18,0,12,0,0,36,11,0,0,16,2,32,0,0,27,27,0,0,22,39,17,11,9,0,9,9,52,26,0,0,66,0,39,26,29,6,43,3,0,0,17,0,0,0,63,0,0,0,0,0,0,16,0,16,9,0,9,0,0,0,24,10,0,0,15,29,17,0,75
2013-12-01,33,42,42,0,0,20,0,0,2,22,6,6,0,0,0,0,55,74,15,0,0,33,0,0,10,17,7,7,7,0,7,0,41,4,0,0,9,2,20,0,0,30,0,0,30,26,38,26,0,10,20,0,20,30,30,59,0,30,30,38,23,46,10,33,13,13,13,38,0,20,0,26,13,27,0,20,27,27,18,0,18,0,0,43,0,11,22,11,67,17,17,34,0,19,10,77
2014-01-01,55,0,38,39,0,37,0,2,2,20,6,11,0,0,0,4,69,14,14,0,14,38,0,0,6,41,0,6,0,6,0,0,63,7,3,7,70,2,40,0,0,28,0,28,28,0,65,0,23,9,9,0,37,27,27,27,0,14,0,90,62,21,14,27,30,23,23,35,0,18,0,30,24,25,19,12,19,33,100,17,50,0,0,50,0,10,26,66,31,32,23,47,16,13,9,44
2014-02-01,24,0,65,0,0,29,0,0,2,13,6,0,0,0,0,0,49,31,31,0,0,29,0,0,7,18,7,14,0,0,0,0,43,13,4,4,15,2,9,0,0,32,0,64,0,13,27,20,13,10,10,0,31,0,62,31,31,24,0,47,16,38,3,33,9,27,0,13,0,14,0,41,0,14,0,0,21,19,47,0,37,0,0,11,0,0,23,12,12,0,27,18,0,10,0,55
2014-03-01,14,0,39,0,0,4,0,0,0,0,0,6,0,0,0,0,58,28,56,0,0,10,0,0,3,13,6,16,6,0,7,0,13,12,0,0,9,2,5,0,0,0,29,0,29,12,24,12,0,0,0,0,9,28,28,0,0,14,0,14,0,30,6,51,6,0,0,12,0,12,0,43,12,0,0,0,32,17,17,0,17,0,0,10,0,0,42,10,31,16,16,32,0,9,0,68
2014-04-01,13,0,0,0,0,17,0,0,0,6,0,6,0,0,0,0,52,28,28,0,0,11,0,0,0,10,0,13,13,0,0,0,33,12,4,3,11,0,0,0,0,0,29,29,0,24,37,12,12,0,0,0,9,0,28,0,0,0,0,36,14,42,3,45,12,0,0,24,0,12,0,31,25,13,0,0,13,0,17,17,17,0,0,0,0,0,21,21,16,32,16,16,0,0,0,18
2014-05-01,13,0,0,0,0,6,0,0,0,6,0,6,0,0,0,0,43,61,30,0,0,12,0,0,7,11,7,14,7,0,0,0,28,15,8,4,4,2,2,0,0,0,31,0,0,33,59,0,0,0,0,0,30,0,0,0,0,0,0,0,0,32,3,50,3,13,0,19,0,0,0,27,13,14,0,14,34,0,0,18,0,0,0,22,0,11,17,0,11,17,17,0,0,10,10,54
2014-06-01,9,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,54,36,18,0,0,8,0,0,0,8,8,8,8,0,0,8,8,11,0,4,7,0,2,0,0,0,0,0,0,16,70,16,16,0,0,0,0,0,36,0,0,54,0,0,0,26,4,50,0,15,0,15,15,0,0,32,0,0,0,16,16,0,22,22,0,13,0,0,0,0,27,27,0,0,31,21,0,0,12,70
2014-07-01,11,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,28,17,0,0,0,2,0,0,0,8,8,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,35,0,70,0,22,0,0,0,0,0,0,0,0,0,0,17,0,0,0,23,0,23,0,15,0,15,0,15,0,38,15,0,0,0,16,0,0,0,0,0,0,12,0,0,0,0,13,20,0,40,0,0,0,28
