date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,2018 flu,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,indiana flu,high fever,flu in indiana,medicine for flu,flu treatments,influenza type a,fight the flu,flu a symptoms,influenza symptoms,how to treat flu,reduce fever,type a influenza,cold symptoms,thermoscan,normal body temperature,how to treat the flu,flu virus,cold,fever flu,stomach flu,how long does flu last,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2013-07-01,5,0,0,0,0,4,0,0,0,1,3,1,0,0,0,0,25,15,8,0,8,3,0,0,1,6,3,3,0,0,6,6,6,41,0,12,0,2,0,0,0,0,2,0,6,27,16,0,0,7,0,7,0,0,12,6,34,0,17,8,0,33,0,1,0,5,0,0,0,0,5,0,5,12,0,0,0,11,0,0,0,7,0,0,0,9,18,14,0,10,0,10,0,0,0,45
2013-08-01,5,0,29,0,0,3,0,1,2,2,1,1,0,0,0,0,27,7,15,0,7,3,1,0,1,3,3,6,0,6,6,0,18,61,22,11,0,2,0,0,1,0,0,0,4,15,5,0,0,0,6,6,9,6,0,0,32,0,16,0,8,37,0,1,0,12,0,0,0,0,0,0,7,0,0,0,0,16,0,0,5,6,0,0,0,0,13,13,0,0,0,20,0,0,0,9
2013-09-01,13,0,28,0,0,5,0,0,0,11,3,1,0,0,0,0,36,7,7,0,0,5,0,0,4,3,0,3,0,6,0,6,24,81,11,11,11,21,0,0,1,2,0,0,8,13,5,0,0,0,0,12,9,6,0,0,17,0,8,0,8,40,0,1,0,50,5,0,7,0,0,0,13,12,12,11,0,10,5,0,5,6,0,9,6,0,17,13,8,10,0,0,0,9,5,79
2013-10-01,23,0,27,0,27,12,0,0,1,22,0,0,0,0,0,0,41,21,21,0,0,6,1,0,3,11,3,6,0,6,0,9,26,78,0,10,0,61,0,0,2,4,3,0,25,29,10,0,0,0,0,6,12,5,5,0,47,0,15,0,22,44,0,1,0,62,5,0,7,0,9,0,11,11,0,11,0,15,0,0,5,6,0,9,0,8,16,24,16,9,9,9,9,0,0,40
2013-11-01,15,0,28,28,0,10,1,0,0,5,2,0,0,0,0,0,59,21,21,0,0,12,0,0,3,10,3,10,0,0,0,6,30,64,0,11,11,29,0,0,1,2,0,0,6,15,5,0,0,6,0,12,18,6,0,6,45,0,8,0,30,48,0,2,0,37,5,0,12,0,4,0,16,11,11,11,0,25,0,0,10,6,0,15,0,0,17,33,12,10,14,10,0,9,0,59
2013-12-01,22,0,27,27,0,15,1,1,0,5,0,4,0,0,0,0,61,14,28,0,0,22,0,0,8,15,3,13,0,6,6,0,55,63,16,10,10,16,0,0,0,0,4,0,16,10,7,5,0,6,0,24,12,8,5,5,44,0,30,7,7,55,1,4,1,28,5,5,32,0,15,0,20,22,0,34,0,30,5,5,15,18,0,42,0,0,37,16,16,19,14,23,0,4,4,58
2014-01-01,30,25,38,25,25,24,0,0,2,12,2,2,0,1,1,1,67,25,13,0,0,23,0,0,9,38,5,8,0,5,0,11,37,100,19,9,10,30,0,0,2,4,4,0,40,27,36,4,0,8,0,27,13,8,20,7,70,0,27,0,62,81,1,3,1,36,15,0,31,0,16,4,18,20,10,20,31,40,0,18,27,5,0,41,6,0,30,19,15,17,34,13,0,8,8,66
2014-02-01,13,0,0,0,27,11,0,0,1,1,1,1,0,2,2,0,49,14,7,0,0,23,0,0,1,15,6,7,3,17,0,12,26,68,0,10,10,7,0,0,1,4,2,0,8,22,5,5,0,0,0,9,15,0,11,0,55,0,15,0,0,51,0,2,0,28,9,0,5,4,9,0,22,22,0,11,0,10,0,0,10,6,6,6,6,0,33,12,21,19,14,9,9,4,4,49
2014-03-01,11,0,65,26,0,8,0,0,0,1,0,1,0,0,0,1,50,26,7,0,0,13,0,0,1,16,4,3,0,5,0,0,19,99,0,10,10,3,0,0,0,0,3,0,10,21,9,0,0,0,0,17,8,8,0,0,39,0,28,0,14,47,0,3,0,13,0,0,9,0,4,0,19,21,0,11,0,14,0,0,33,0,0,11,0,8,15,27,39,18,13,9,0,0,4,47
2014-04-01,9,0,0,0,26,9,1,0,0,0,1,1,0,1,0,0,46,13,20,0,0,11,0,0,1,8,0,7,0,6,0,0,33,70,0,20,20,4,0,0,1,0,2,0,3,14,14,5,9,6,0,0,0,0,11,5,21,22,14,7,7,45,1,2,0,9,4,0,13,0,6,4,13,0,11,11,11,33,0,0,5,0,6,17,0,0,20,20,8,0,36,18,0,0,4,39
2014-05-01,7,0,0,0,0,7,0,0,0,1,3,1,0,0,0,0,38,7,22,0,0,7,0,0,1,7,0,6,0,0,6,6,15,66,0,11,0,3,0,1,0,0,0,0,5,18,5,0,0,0,0,9,0,6,17,0,20,8,8,0,23,49,0,1,0,5,0,0,5,0,5,0,5,0,12,24,0,10,0,0,0,6,0,6,0,9,13,9,34,0,0,20,10,5,0,38
2014-06-01,5,0,35,0,0,4,0,0,0,2,2,0,0,0,0,0,39,9,9,0,9,4,0,0,2,4,7,4,0,7,7,7,26,60,0,0,13,2,0,0,0,3,0,0,6,28,6,0,0,0,0,8,0,0,7,0,21,0,29,0,10,38,0,1,0,12,0,0,6,0,6,0,11,0,0,0,14,6,0,0,0,8,0,8,0,0,10,0,10,0,12,0,0,0,0,34
