date,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,braun thermoscan,symptoms of bronchitis,oscillococcinum,bronchitis,contagious flu,flu fever,influenza,influenza incubation period,stomach flu symptoms,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,dog flu,cure flu,flu vs cold,taking temperature,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,influenza symptoms,how long contagious,is the flu contagious,i have the flu,fever flu,how long does the flu last,cold vs flu,cure the flu,signs of flu,flu care,flu children,influenza a and b,thermoscan,flu treatment,influenza a,cdc flu map,the flu virus,how long does flu last,human temperature,is flu contagious,flu symptoms,flu symptoms in kids,flu symptoms 2019,dangerous fever,body temperature,flu cough,keto flu,how long flu,fever cough,ear thermometer
2015-11-01,40,0,13,28,0,0,31,25,0,89,38,39,30,0,4,48,0,0,30,20,0,0,0,0,0,0,0,60,35,0,0,22,17,10,21,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,51,18,0,0,0,34,0,0,25,26,43
2015-12-01,18,49,42,27,0,23,15,61,0,0,0,53,0,0,7,0,32,19,0,55,19,57,0,0,0,0,0,54,100,41,0,0,0,5,39,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,37,0,0,21,0,0,0,45,40,0,61,0,41
2016-01-01,24,27,70,17,9,33,6,18,0,31,0,50,21,69,8,0,24,0,21,28,0,42,40,8,0,0,0,73,25,0,0,15,0,7,22,0,0,69,0,0,0,30,30,31,0,0,0,5,0,0,0,25,35,23,0,0,0,29,0,0,18,0,0
2016-02-01,20,43,32,18,11,20,7,32,0,0,0,56,0,42,10,0,29,17,0,17,17,0,0,0,0,0,37,65,30,37,0,0,0,13,87,0,54,42,0,0,0,0,0,37,0,0,21,29,0,0,0,0,0,31,0,0,51,23,0,0,32,0,0
2016-03-01,19,21,35,27,10,78,4,20,0,36,0,40,0,80,19,0,28,16,0,16,16,48,0,0,0,0,0,60,57,0,0,18,0,12,41,0,0,80,78,0,0,0,0,0,0,0,0,26,0,38,93,0,0,12,0,0,0,22,0,0,20,32,35
2016-04-01,22,21,21,15,0,40,7,21,0,0,0,46,25,41,15,39,29,0,25,32,0,0,0,0,0,0,73,61,0,0,0,18,0,10,34,0,0,41,0,0,0,0,0,0,0,0,0,9,0,0,0,0,42,6,0,0,0,22,0,0,21,0,0
2016-05-01,8,22,22,8,11,0,0,22,0,0,0,29,0,0,4,0,0,18,0,34,18,0,0,0,0,0,39,38,31,0,0,39,0,0,36,0,0,0,0,0,100,0,0,0,0,54,0,3,0,0,0,0,0,13,0,0,0,24,0,0,22,23,0
2016-06-01,14,0,30,15,12,46,0,0,0,0,0,21,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,28,33,41,0,0,0,9,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,21,0,0,0,13,0,0,0,0,0
2016-07-01,6,0,34,6,0,22,4,23,0,0,0,25,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,37,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,23,0,0
2016-08-01,11,0,11,11,11,0,4,22,0,0,0,15,0,43,2,0,0,0,0,17,0,0,0,0,0,0,0,38,0,0,0,19,0,0,36,0,55,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,24,0,0,22,23,38
2016-09-01,19,20,10,15,0,0,16,0,0,0,0,54,0,0,8,0,0,0,0,31,0,49,0,0,0,0,0,76,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,31,58,0,6,0,0,0,22,0,0,0,21,0
2016-10-01,50,20,49,32,0,38,53,60,33,35,30,30,24,0,8,0,27,16,24,38,16,47,0,0,0,0,0,71,28,34,0,35,48,4,16,0,0,0,51,0,0,34,34,52,0,49,0,6,0,0,0,0,40,17,0,0,0,27,0,0,60,21,0
2016-11-01,25,59,39,19,0,75,17,0,0,0,0,52,24,39,5,0,0,16,24,0,16,0,0,0,0,0,35,55,0,0,0,17,14,4,32,0,49,39,0,0,0,0,0,0,0,0,0,9,0,37,0,0,0,6,0,0,0,11,33,0,0,20,34
2016-12-01,21,19,28,21,10,18,23,19,0,34,0,100,23,38,2,0,25,30,23,29,30,0,0,0,0,37,0,71,27,0,0,16,0,7,39,0,0,38,48,37,0,0,0,0,0,0,0,0,0,36,29,0,0,19,0,0,0,36,0,0,19,39,0
2017-01-01,41,18,86,36,19,52,11,46,0,0,27,40,22,0,29,0,25,15,22,42,15,0,42,8,0,0,32,51,25,0,0,0,0,43,15,0,46,0,0,0,0,31,0,0,25,0,0,39,0,34,0,26,0,24,0,0,43,34,0,0,46,28,0
2017-02-01,52,49,44,81,0,56,7,69,0,34,0,60,35,77,100,74,0,31,35,30,31,46,0,0,100,0,0,78,27,100,0,17,0,73,64,100,0,77,74,0,0,33,66,34,53,0,19,100,37,37,60,0,0,48,39,0,0,31,32,0,69,20,33
2017-03-01,21,17,43,32,0,100,6,26,0,30,26,49,21,68,39,0,24,0,21,13,0,0,39,0,0,0,30,55,48,0,0,15,0,48,21,45,0,68,0,0,0,30,0,0,47,0,0,42,0,0,26,0,0,20,0,0,0,18,29,0,26,36,59
2017-04-01,14,0,24,9,0,18,5,19,0,0,0,54,0,0,8,0,0,0,0,59,0,0,0,9,0,0,0,45,80,0,0,17,0,11,15,0,0,0,0,0,0,0,0,0,26,0,0,11,0,0,29,54,38,16,0,0,0,31,0,51,19,20,0
2017-05-01,10,0,15,5,0,0,0,0,33,35,0,56,0,0,5,0,0,0,0,31,0,47,0,0,0,0,0,26,28,34,0,17,0,4,32,0,0,0,0,0,0,0,0,0,0,0,19,3,0,37,0,28,0,6,0,0,0,11,0,54,0,21,0
2017-06-01,10,0,16,10,11,40,7,0,0,0,0,42,25,0,3,0,0,0,25,16,0,0,0,10,0,0,0,42,0,36,0,74,0,0,17,0,0,0,0,0,0,0,0,0,29,52,21,3,0,0,0,0,0,15,0,0,0,34,0,0,0,22,36
