date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza,influenza a and b,cure the flu,flu season,flu shots,dangerous fever,break a fever,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu care,flu headache,flu vs. cold,high fever,spanish flu,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,type a influenza,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,how long does flu last,food poisoning,influenza a,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,signs of flu,over the counter flu medicine,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,flu map,treatment for flu,taking temperature,exposed to flu,keto flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature
2013-08-01,7,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,28,18,18,0,0,3,0,0,0,0,8,8,0,0,0,0,13,23,0,0,0,2,0,0,0,0,29,0,0,35,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,5,5,0,17,0,0,0,0,0,38
2013-09-01,12,0,0,0,0,0,3,0,0,7,24,0,0,0,0,0,32,17,0,0,17,7,0,0,2,8,0,0,0,12,0,0,18,45,0,11,0,15,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,0,0,18,0,13,0,0,15,0,0,0,0,0,100,0,0,0,29,22,0,0,0,0,28,0,0,0,39,0,0,4,0,0,0,16,0,0,0,55
2013-10-01,30,7,7,7,0,0,7,0,0,10,56,0,0,0,0,0,45,0,16,0,0,11,0,0,2,18,7,7,0,29,12,0,23,32,0,11,10,43,0,0,0,0,26,26,0,49,0,0,0,0,0,3,0,21,0,0,0,17,0,17,35,2,12,6,0,0,0,0,0,0,0,40,0,14,14,0,28,0,15,0,0,14,0,0,14,35,0,0,4,0,16,16,47,0,0,0,27
2013-11-01,26,0,0,0,0,0,8,0,0,7,28,0,0,3,0,0,45,35,0,0,0,18,0,0,5,12,8,8,0,13,0,0,38,23,0,23,0,32,0,0,0,0,28,0,0,0,0,0,0,0,0,7,4,0,0,0,0,19,0,0,19,0,17,7,0,0,0,31,0,0,0,60,0,15,0,15,15,17,33,0,17,0,0,0,22,52,5,0,13,0,17,34,42,0,0,0,62
2013-12-01,26,0,0,7,0,0,14,0,0,7,7,10,7,0,0,0,50,0,0,0,0,25,0,0,7,0,0,15,0,0,0,0,43,22,11,16,0,13,0,0,0,0,0,27,0,0,17,0,0,4,0,7,0,0,22,0,0,0,0,18,0,6,28,17,0,0,15,0,0,0,0,17,33,15,0,0,30,16,0,16,16,14,0,0,0,43,0,7,9,32,0,33,0,0,14,0,37
2014-01-01,45,0,0,7,0,0,29,0,0,13,13,6,6,0,0,0,72,16,31,0,0,54,0,0,16,39,7,14,0,0,0,0,51,26,0,10,15,17,0,0,0,26,26,51,0,32,0,0,0,0,0,26,3,21,0,21,0,0,0,0,0,7,18,25,9,14,0,100,0,31,0,23,0,48,14,14,28,15,30,45,0,13,26,0,53,61,0,16,8,0,15,15,15,9,0,0,64
2014-02-01,24,0,0,0,0,0,12,0,0,7,27,0,20,0,0,0,79,49,0,0,16,23,2,0,7,15,0,15,0,12,0,0,72,38,0,11,0,10,0,0,0,27,27,0,0,17,0,0,0,0,0,17,7,0,0,0,22,18,0,0,18,0,7,19,5,0,0,15,0,16,0,41,16,29,0,29,22,16,24,16,0,14,14,0,14,51,0,6,4,16,16,16,0,0,0,0,45
2014-03-01,15,0,0,6,0,0,6,0,0,6,12,0,0,0,0,0,44,15,15,0,0,20,0,0,4,16,0,10,0,0,0,0,26,24,0,19,0,2,0,0,0,0,0,0,0,44,0,0,0,3,0,8,3,0,19,0,0,31,0,0,0,6,25,6,3,0,0,0,0,0,0,36,0,13,0,13,13,0,0,14,14,24,0,0,12,39,4,11,4,0,14,28,0,0,8,0,32
2014-04-01,10,0,7,0,0,0,7,0,0,12,6,0,6,0,0,0,35,15,15,0,15,7,2,0,2,10,7,7,0,0,11,0,22,19,0,10,0,3,0,0,0,0,25,0,0,60,0,0,0,3,0,3,0,20,20,0,0,0,0,0,16,0,18,6,2,0,0,0,0,0,0,44,0,0,0,0,13,0,0,0,0,19,0,0,0,45,0,0,8,0,0,0,0,0,0,0,33
2014-05-01,7,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,31,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,35,21,0,0,0,2,0,0,0,0,0,0,0,48,0,0,0,3,0,8,0,0,21,0,0,0,0,0,0,2,25,2,0,0,0,0,0,0,0,31,0,0,0,14,0,0,15,0,0,0,0,13,0,47,0,0,0,0,0,15,0,0,0,0,9
2014-06-01,4,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,28,0,0,0,0,5,0,0,5,8,0,8,0,0,0,0,26,23,0,0,0,2,0,0,0,29,0,0,0,54,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,13,0,0,16,0,0,0,18,0,18,0,0,16,16,32,0,0,0,0,15,0,0,0,39,5,0,5,0,0,0,0,0,0,0,20
