date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,michigan flu,flu lasts,the flu,flu symptoms,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,flu in michigan,medicine for flu,cold vs flu,influenza type a,fight the flu,flu a symptoms,the flu virus,how to treat flu,reduce fever,cdc,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,treatment for flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,flu complications,signs of the flu,treat flu,how to get rid of the flu
2013-07-01,5,0,26,0,0,3,0,0,1,3,2,2,0,0,0,0,24,3,2,3,0,4,3,0,0,2,4,0,2,0,7,0,7,10,38,0,10,0,2,0,0,0,6,6,6,4,8,0,0,0,0,5,5,0,0,1,28,0,14,37,0,1,1,13,1,3,6,2,0,0,5,5,0,63,10,0,0,3,3,3,3,0,3,0,3,24,1,3,3,12,12,12,0,0,0,0,10
2013-08-01,5,0,13,0,13,4,0,1,0,5,4,4,0,0,0,1,29,5,4,2,0,4,4,0,0,0,4,2,4,0,0,0,0,0,34,5,14,0,4,0,0,0,6,6,6,4,56,0,0,0,0,0,12,0,0,1,29,0,9,28,9,2,3,15,2,2,7,2,0,0,0,10,0,50,5,5,10,3,8,3,0,3,0,0,3,25,0,1,2,0,6,12,6,0,0,11,11
2013-09-01,15,0,0,0,0,9,0,0,0,47,0,2,0,0,0,2,38,4,6,14,0,10,7,0,0,0,5,2,6,0,17,8,0,6,51,0,0,1,36,0,0,7,21,14,14,5,33,5,0,6,0,0,6,2,1,1,37,0,11,38,11,1,2,14,2,5,29,0,0,0,0,6,0,43,6,6,6,4,6,4,0,0,11,0,0,36,0,3,3,7,7,7,7,0,12,12,0
2013-10-01,25,0,0,0,0,11,1,0,1,61,2,0,0,1,0,3,44,5,11,25,0,16,8,1,0,0,10,3,10,0,8,0,12,0,53,0,0,1,62,0,0,7,10,17,7,22,13,31,0,5,5,0,5,1,1,1,39,0,0,51,10,1,4,12,2,5,47,3,2,0,11,23,0,58,11,0,11,4,12,4,4,0,0,0,10,53,1,1,3,0,13,10,7,0,0,0,0
2013-11-01,19,0,22,15,15,12,0,1,1,37,0,5,0,1,0,1,52,6,12,14,0,15,9,0,0,3,13,3,12,0,24,0,8,0,27,5,11,0,33,0,0,7,10,10,0,9,32,14,5,5,5,5,22,1,1,1,29,0,11,47,0,2,6,20,4,3,29,3,0,0,12,6,6,58,8,11,11,6,17,7,4,4,11,4,0,53,0,3,3,10,10,14,7,0,0,12,0
2013-12-01,25,27,20,0,0,15,0,1,2,20,4,2,0,1,0,1,55,10,13,17,2,25,18,0,0,5,25,3,13,0,30,7,7,15,40,5,5,1,15,0,0,16,13,16,22,13,38,17,8,12,5,0,10,2,1,1,26,10,10,48,29,7,9,57,8,8,17,3,5,5,11,16,11,42,17,25,20,0,27,3,13,0,3,0,19,67,0,10,3,16,22,35,31,0,11,0,33
2014-01-01,49,12,12,25,12,22,1,1,1,68,6,7,0,1,0,2,60,9,15,66,0,38,37,1,0,5,49,3,15,7,27,10,10,9,82,9,18,3,67,0,0,26,29,26,20,4,31,73,8,20,5,9,25,2,1,2,31,9,9,53,26,5,11,57,6,36,45,6,1,5,22,15,0,55,11,9,16,6,32,3,12,3,12,0,21,64,1,6,2,9,15,38,40,10,40,30,10
2014-02-01,19,13,0,27,26,14,0,1,2,8,2,4,0,1,0,2,45,12,12,15,0,21,15,0,0,2,20,6,12,0,11,7,15,20,34,5,0,1,9,0,0,12,6,31,15,16,24,16,4,10,10,0,17,2,1,1,35,9,9,42,19,5,6,45,6,6,11,2,0,0,0,18,5,56,10,7,10,10,18,3,5,3,0,0,19,49,1,6,4,12,12,22,31,0,0,22,11
2014-03-01,15,0,12,13,13,9,0,0,1,7,3,0,0,1,0,1,44,8,7,8,0,14,13,0,0,2,10,4,7,0,7,0,0,9,56,0,9,0,4,0,0,9,6,12,23,0,34,8,4,7,0,5,11,1,1,1,37,0,0,44,17,3,4,64,4,3,4,1,1,5,5,12,7,78,9,14,18,3,12,0,3,0,9,6,12,46,0,6,3,6,12,12,12,0,0,0,0
2014-04-01,12,20,13,0,13,10,0,0,1,4,5,2,0,0,0,1,40,9,7,8,0,12,6,0,0,6,8,2,6,0,7,7,0,5,74,10,5,0,3,0,0,6,0,6,12,8,57,8,0,5,0,0,17,1,0,1,36,0,0,37,0,2,7,44,4,7,8,2,0,0,0,8,0,49,5,5,17,7,21,0,8,6,0,0,9,44,1,5,4,6,6,6,9,0,32,32,11
2014-05-01,8,0,14,0,14,8,0,1,1,0,2,2,0,0,0,1,37,9,4,7,0,8,5,1,0,0,6,6,4,0,8,0,8,16,41,0,10,1,2,0,0,6,13,0,6,4,30,4,4,5,0,0,0,1,0,1,34,0,20,59,0,2,2,29,2,3,2,0,0,0,0,17,0,62,10,0,10,7,5,3,3,0,13,0,0,52,0,2,3,7,13,13,7,0,0,0,23
2014-06-01,6,0,0,0,16,3,0,0,0,0,0,4,0,0,1,1,31,9,2,5,0,5,3,0,0,2,4,5,2,0,0,9,0,6,29,0,17,1,1,0,0,7,11,0,7,10,19,10,0,6,0,0,9,1,0,0,30,0,0,50,0,1,4,13,1,2,4,4,2,0,0,6,0,55,6,6,0,4,12,0,0,0,0,0,0,30,1,4,2,0,7,0,7,0,13,0,0
