date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,flu like symptoms,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,human temperature,medicine for flu,flu treatments,cold vs flu,influenza type a,flu a symptoms,influenza symptoms,the flu virus,how to treat flu,type a influenza,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,fever flu,stomach flu,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,symptoms,signs of flu,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,tamiflu,treatment for flu,louisiana flu,exposed to flu,flu contagious,flu length,bronchitis,type a flu,symptoms of bronchitis,what is the flu,oscillococcinum,flu medicine,flu remedies,flu complications,signs of the flu,how to get rid of the flu,body temperature
2013-08-01,4,0,0,0,0,0,0,0,14,0,0,0,0,0,3,31,1,0,0,0,2,0,0,2,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,14,10,0,10,0,14,0,14,35,8,0,8,16,6,3,0,0,0,0,75,0,0,76,0,0,0,6,8,0,1,0,0,0,0,2,0,23,0,4,0,0,0,0,0,0,0,36
2013-09-01,11,0,0,0,0,0,0,0,23,16,16,0,0,0,1,36,2,0,0,1,5,0,0,4,0,0,0,0,0,0,0,19,13,0,0,0,12,0,0,0,0,0,16,0,24,0,0,0,0,11,11,11,0,0,0,16,39,6,0,6,17,3,33,0,0,0,0,74,0,0,56,0,0,0,6,6,0,4,3,0,1,0,0,0,33,5,9,14,0,10,10,0,0,0,54
2013-10-01,19,0,0,0,0,7,7,7,43,16,31,0,16,0,1,39,6,2,0,1,12,0,0,11,2,0,43,0,0,0,0,22,12,0,0,11,0,0,0,0,0,0,15,0,30,0,0,0,0,33,0,0,11,0,0,0,15,20,6,22,17,0,16,0,0,0,0,73,0,0,55,14,14,6,6,24,6,2,1,0,3,3,3,0,37,0,4,4,4,9,0,0,0,0,26
2013-11-01,13,0,0,0,0,8,0,8,19,0,0,0,0,2,0,46,5,2,0,0,9,2,0,7,0,11,40,11,0,7,0,20,7,0,12,12,12,0,0,0,2,32,0,0,16,0,0,17,0,12,0,0,0,0,0,0,65,15,6,18,36,3,17,0,0,0,0,69,0,0,43,15,0,0,6,19,0,0,14,0,1,0,11,0,47,5,5,7,5,0,10,0,10,0,48
2013-12-01,26,0,51,0,0,8,8,15,30,0,48,0,16,1,4,82,23,2,0,0,25,2,0,36,11,11,27,11,11,10,0,54,13,0,35,23,12,0,0,2,5,24,16,0,16,24,0,32,16,28,11,28,0,16,0,0,47,29,14,17,37,37,10,7,3,0,0,70,1,14,77,21,0,6,6,19,6,7,31,1,4,0,24,0,100,25,11,18,5,19,34,0,19,0,27
2014-01-01,38,24,0,48,0,0,0,0,17,0,0,0,59,0,3,63,16,3,0,1,36,4,0,27,2,10,61,0,0,0,0,56,12,11,16,16,22,0,0,2,4,59,15,0,29,29,0,29,15,53,11,37,16,15,0,15,36,37,32,59,38,46,19,6,0,0,0,76,1,13,78,13,0,0,6,63,12,9,28,1,8,2,11,0,74,19,11,23,11,31,13,0,31,0,49
2014-02-01,15,0,0,0,0,0,7,0,7,0,16,0,16,1,2,53,5,1,0,0,12,0,0,7,0,11,22,0,22,0,0,28,6,0,17,11,11,0,0,0,0,16,16,0,16,0,0,0,0,22,11,11,0,0,0,0,46,20,6,11,37,7,3,0,3,0,0,69,0,0,42,0,14,0,12,12,6,5,8,0,1,3,4,0,49,5,9,7,4,24,10,0,0,7,66
2014-03-01,9,0,0,0,0,0,0,6,12,13,0,0,0,0,1,46,2,1,0,0,6,0,0,4,0,9,17,0,9,5,5,15,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,9,0,0,0,0,37,9,9,0,32,3,3,0,0,0,0,68,0,0,56,11,0,0,5,0,0,3,4,1,1,0,6,0,53,0,7,7,0,8,0,0,0,0,21
2014-04-01,5,0,0,0,0,0,0,6,12,0,0,0,0,0,1,47,5,1,0,0,9,0,0,11,0,0,13,0,0,0,5,15,0,0,9,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,9,18,0,0,0,0,31,14,7,7,25,0,13,0,3,0,0,72,0,11,68,0,0,0,5,7,5,1,5,1,0,0,2,0,52,4,4,5,0,8,0,8,8,0,32
2014-05-01,4,0,0,0,0,0,6,0,6,0,13,0,0,0,3,37,1,1,0,0,4,2,0,0,0,0,13,0,0,0,0,15,5,0,9,9,9,0,0,0,0,12,12,0,50,0,0,0,0,9,9,0,0,0,0,0,25,7,5,5,23,3,3,0,0,0,0,74,0,0,73,0,0,0,5,5,5,0,4,0,1,0,3,0,43,0,4,4,0,15,15,8,0,0,53
2014-06-01,3,0,0,0,0,0,0,0,7,0,14,0,14,0,1,27,2,1,0,0,3,0,0,4,2,0,19,0,0,0,6,14,0,0,0,0,0,0,0,0,2,0,0,0,28,0,0,15,0,10,10,0,0,0,0,14,0,11,0,5,13,0,3,0,0,0,0,73,0,0,38,0,0,0,6,5,0,0,0,0,0,0,0,0,29,0,4,0,4,9,0,0,0,0,30
