date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,flu contagious period,treating the flu,flu children,incubation period for flu,how long contagious,i have the flu,low body,treat the flu,is the flu contagious,do i have the flu,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu and fever,flu headache,flu vs. cold,flu symptoms 2018,human temperature,spanish flu,medicine for flu,flu treatments,cold vs flu,fight the flu,influenza symptoms,the flu virus,how to treat flu,cdc,type a influenza,influenza incubation period,thermoscan,how to treat the flu,how long does the flu last,fever flu,stomach flu,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,flu test,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,flu map,treatment for flu,cdc flu,taking temperature,flu shot symptoms,flu contagious,flu length,bronchitis,symptoms of bronchitis,boston flu,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature
2013-08-01,3,0,0,0,0,0,0,0,15,0,0,0,0,19,4,4,4,0,4,3,0,6,0,6,0,0,0,46,0,24,0,12,0,0,0,6,0,0,0,0,0,0,0,0,8,25,0,0,0,0,0,0,0,39,0,0,0,0,0,0,11,8,0,0,0,0,0,18,0,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,29,0,0,0,0,0,40
2013-09-01,14,0,0,0,0,0,0,0,15,0,0,0,0,37,4,0,0,0,6,4,1,6,0,12,0,0,0,44,0,18,0,18,0,0,0,32,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,41,0,34,0,0,0,0,11,11,11,16,33,0,0,0,0,0,0,17,17,0,0,0,13,0,0,0,0,21,0,0,0,0,29,0,0,0,29,0,0,0,0,0,40
2013-10-01,18,0,0,0,0,0,0,0,14,0,0,0,0,50,7,7,3,0,9,7,0,11,0,5,0,0,0,42,0,11,0,28,0,0,0,68,0,0,0,18,0,0,0,0,0,0,0,0,23,0,0,0,0,37,0,0,0,0,0,0,10,0,42,0,0,0,17,0,0,32,0,0,0,0,0,0,0,0,0,0,0,13,0,0,34,55,27,0,0,0,28,0,0,0,37
2013-11-01,12,0,0,0,0,0,0,0,29,0,0,0,0,42,7,0,0,0,7,6,0,11,5,0,0,0,0,0,0,12,0,29,0,0,0,33,0,0,0,0,0,0,0,0,7,23,0,0,0,0,26,26,0,37,0,0,3,0,0,10,0,16,51,0,0,0,0,0,0,41,0,0,0,0,13,0,0,20,0,20,0,0,0,0,25,0,0,28,0,0,39,0,0,0,38
2013-12-01,15,0,0,0,0,0,0,0,14,0,0,42,0,44,0,7,7,0,15,8,0,0,5,10,0,0,0,0,41,11,11,11,0,5,0,15,0,0,0,0,0,7,0,0,7,22,0,0,0,0,0,0,0,39,0,0,0,0,0,10,30,11,22,0,0,0,16,16,0,48,0,0,16,0,0,0,12,19,0,19,0,0,4,0,20,27,0,0,0,19,37,0,0,0,55
2014-01-01,23,0,0,0,0,0,0,0,0,0,0,0,0,61,14,5,6,2,18,14,0,22,5,7,0,0,0,38,0,15,0,21,10,3,3,26,0,0,0,16,0,7,0,0,6,21,0,0,21,0,0,23,0,26,0,0,3,0,18,14,55,10,14,14,0,0,15,0,15,44,15,0,22,11,23,0,11,52,0,18,0,0,4,0,33,25,25,0,25,0,0,0,0,0,39
2014-02-01,14,0,0,0,0,0,0,0,0,0,0,0,0,67,3,7,0,1,12,15,0,5,5,8,5,0,0,0,0,34,0,23,0,0,0,4,0,0,0,18,0,0,0,0,7,0,0,0,23,0,0,0,0,27,0,0,3,0,30,10,76,8,15,0,0,0,0,34,0,24,0,0,32,0,0,0,0,19,0,19,19,0,9,0,49,27,0,0,0,38,0,0,0,0,56
2014-03-01,9,0,0,0,0,0,0,0,13,0,0,0,0,32,6,3,6,1,8,9,1,10,0,13,0,0,0,39,39,11,11,16,0,3,0,4,0,0,0,17,17,0,0,0,7,21,0,0,21,0,23,0,0,43,0,0,0,0,0,19,38,7,14,0,0,0,0,16,0,45,0,0,15,12,24,0,12,18,0,0,18,0,0,0,32,39,0,0,0,36,0,0,0,0,47
2014-04-01,11,0,38,0,0,0,0,0,14,0,0,0,0,56,5,9,4,0,8,3,1,8,6,0,5,0,0,0,0,24,0,41,0,0,0,3,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,38,0,0,0,0,10,10,31,8,12,8,0,0,0,0,0,58,17,0,17,0,0,0,0,0,20,0,0,0,5,0,37,28,0,0,28,20,0,0,0,0,51
2014-05-01,4,0,0,0,0,0,0,0,0,0,0,45,0,36,4,4,0,0,4,4,0,6,0,0,6,0,0,0,0,12,12,18,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,11,0,8,0,8,0,0,0,0,0,17,0,0,0,13,0,0,0,0,0,21,0,0,5,0,17,0,0,0,0,20,0,0,0,0,13
