date,flu,bird flu,influenza a and b,pneumonia,flu how long,fever cough,flu and cold,the flu,flu symptoms,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,how long contagious,i have the flu,low body,is the flu contagious,flu vs cold,flu symptoms 2018,human temperature,high fever,spanish flu,cold vs flu,influenza symptoms,the flu virus,thermoscan,normal body temperature,how long does the flu last,cdc flu map,fever flu,stomach flu,how long does flu last,swine flu,flu cough,contagious flu,signs of flu,normal body,is flu contagious,ear thermometer,flu fever,symptoms of the flu,keto flu,flu contagious,bronchitis,oscillococcinum,flu medicine,body temperature
2018-10-01,43,0,0,45,19,0,0,38,16,19,41,38,0,17,40,32,0,0,52,0,0,0,0,0,0,0,0,0,0,37,0,24,0,0,0,0,0,20,0,0,0,23,0,0,30,0,0,0
2018-11-01,24,0,0,22,20,0,17,26,28,20,43,20,0,17,0,0,17,0,0,0,24,49,0,0,13,0,0,19,0,0,18,100,0,12,0,35,33,21,49,0,18,24,49,35,16,0,42,45
2018-12-01,38,31,0,37,100,0,0,29,42,100,0,20,0,53,14,0,17,55,0,25,37,74,0,0,0,0,0,29,50,0,18,76,87,12,0,71,0,22,98,0,0,0,0,71,31,31,43,15
2019-01-01,33,0,0,34,47,0,0,50,27,47,41,37,0,17,13,0,0,0,51,0,0,69,38,46,13,0,0,18,0,0,26,0,0,0,0,0,0,41,0,0,34,0,0,0,18,29,40,14
2019-02-01,46,0,83,73,20,71,0,56,28,20,43,40,35,0,42,0,0,0,54,0,0,24,0,0,100,0,0,0,99,0,37,13,43,12,0,36,33,22,0,0,0,0,49,36,59,61,64,76
2019-03-01,35,28,0,58,65,45,33,50,21,65,40,56,0,33,26,0,32,51,51,0,0,23,0,46,37,0,0,0,92,36,26,0,81,0,26,100,0,0,46,0,17,46,0,100,48,0,60,28
2019-04-01,7,0,0,57,20,0,0,10,14,20,0,0,0,0,14,0,42,0,0,0,0,0,0,0,13,0,0,19,0,0,18,25,0,0,0,35,0,21,0,0,18,0,48,35,31,0,0,15
2019-05-01,15,0,0,54,18,0,0,22,10,18,0,27,0,0,26,0,0,0,0,0,0,23,0,0,18,0,35,18,0,0,17,23,40,11,0,0,0,40,0,0,17,45,91,0,36,0,0,0
2019-06-01,8,0,0,44,0,24,17,11,8,0,43,20,0,17,14,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,33,0,0,0,0,0,0,0,31,0,0,15
2019-07-01,15,0,38,44,18,0,0,25,5,18,0,0,0,16,13,80,79,0,0,0,23,0,0,0,12,0,0,0,0,0,0,23,0,0,0,0,0,20,0,0,0,0,0,0,14,0,0,14
2019-08-01,10,0,0,24,0,0,0,0,0,0,0,0,0,16,0,32,16,0,0,0,23,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,46,0,15,28,40,14
2019-09-01,18,0,37,39,18,0,16,12,15,18,0,0,0,16,38,0,15,0,0,0,22,0,0,0,0,0,0,17,0,0,0,0,39,0,0,0,0,19,0,0,0,0,0,0,32,0,0,14
2019-10-01,36,27,0,26,18,21,15,40,10,18,0,17,0,15,12,0,15,0,0,0,0,22,35,0,12,0,0,17,0,0,16,0,0,10,0,0,0,19,0,0,16,22,0,0,14,0,0,0
2019-11-01,30,0,0,50,46,22,0,34,8,46,0,0,0,0,26,32,23,0,0,0,22,45,36,0,12,0,0,0,46,0,17,23,80,0,0,0,0,60,45,0,17,0,0,0,22,0,0,42
2019-12-01,37,0,38,34,37,44,32,32,39,37,39,18,32,32,52,33,16,100,100,0,0,0,0,90,38,0,0,0,90,0,17,35,40,0,26,33,31,0,92,0,17,23,0,33,40,28,0,0
