date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,flu symptoms 2018,high fever,spanish flu,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,flu in kansas,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,food poisoning,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,free flu shots,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature
2013-07-01,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,19,12,0,0,0,6,0,0,1,9,9,0,0,0,0,0,15,46,0,10,0,0,0,0,1,0,0,0,0,65,0,0,0,0,0,0,5,0,28,0,0,0,34,0,17,3,8,3,33,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,9,9,0,0,24,0,5,0,0,14,14,0,0,0,0,47
2013-08-01,6,0,0,0,0,4,0,0,0,4,7,0,0,0,0,3,27,10,20,0,0,3,0,0,1,4,0,8,0,13,0,0,6,61,0,0,9,3,0,0,1,0,3,0,0,55,0,9,0,0,0,0,4,2,31,0,2,0,21,0,0,3,14,6,25,0,0,0,16,0,9,0,37,0,16,0,16,7,0,15,0,0,0,0,15,38,0,0,7,0,24,0,0,0,0,0,54
2013-09-01,12,0,0,0,0,4,1,0,1,31,0,0,0,0,0,2,32,17,0,0,0,6,1,0,1,17,3,0,0,6,0,0,28,45,0,7,0,13,0,0,2,0,0,0,0,8,8,8,0,0,0,7,0,2,30,0,2,0,24,12,12,0,12,0,27,28,5,0,0,8,16,0,20,0,0,0,13,0,0,12,0,12,0,6,0,42,0,7,2,10,10,0,52,6,0,0,80
2013-10-01,23,30,0,0,0,9,1,0,0,42,0,0,0,0,0,0,45,21,26,0,0,10,0,0,1,8,0,10,0,14,0,0,30,14,9,18,0,40,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,36,0,2,0,15,0,0,6,19,6,29,68,0,0,0,0,10,0,49,33,0,0,0,0,0,11,0,0,8,31,0,53,0,0,4,0,25,13,63,8,15,15,68
2013-11-01,19,0,0,0,0,5,0,1,0,13,0,4,0,2,0,2,59,0,24,0,0,10,1,0,2,9,9,9,0,23,0,0,23,31,10,0,0,30,0,0,1,8,0,0,0,11,11,0,0,0,0,5,0,0,38,0,0,0,0,0,17,3,19,7,22,19,0,0,0,0,11,0,34,0,0,0,0,9,0,0,0,9,0,9,9,55,0,7,7,22,15,15,15,0,9,0,61
2013-12-01,22,26,52,0,0,14,0,1,1,13,0,3,0,0,0,3,56,27,40,0,9,26,1,0,5,25,4,16,0,6,6,0,32,39,16,12,0,12,0,0,2,3,4,0,0,49,8,16,0,0,0,12,9,0,24,0,2,13,25,0,38,19,33,11,41,5,14,0,10,0,21,0,42,14,21,0,0,0,13,26,7,7,7,0,16,88,0,10,6,11,11,22,16,6,0,6,68
2014-01-01,44,0,48,0,0,20,1,0,1,36,3,0,0,1,0,3,60,21,33,0,0,28,1,0,7,46,3,13,0,8,8,0,16,43,7,36,7,33,0,2,1,8,3,0,0,38,15,0,0,6,0,19,6,2,36,3,8,0,41,24,77,7,37,13,36,40,9,0,9,8,66,0,35,20,13,13,39,18,0,33,6,6,6,12,12,77,2,6,5,20,0,30,10,12,24,0,84
2014-02-01,17,0,0,0,0,7,0,1,1,0,0,0,0,1,0,1,59,24,28,0,0,15,1,0,4,19,3,11,0,0,5,0,21,25,7,7,7,7,0,0,1,0,3,0,0,60,0,7,0,0,0,9,3,1,34,0,1,0,23,0,29,5,40,3,34,9,0,0,22,8,11,0,23,13,38,13,26,6,0,24,12,12,6,0,18,47,2,9,7,10,20,20,20,6,0,0,41
2014-03-01,13,0,27,0,0,3,0,1,1,3,3,3,0,1,0,4,38,28,9,0,0,10,0,0,2,9,4,4,0,6,0,0,27,36,0,16,8,1,0,0,0,0,0,0,0,17,8,0,0,0,0,0,4,0,41,0,2,0,26,13,39,3,49,3,52,15,0,0,5,9,9,0,17,0,14,0,29,0,0,13,0,10,0,0,7,52,0,7,8,0,11,22,0,13,0,0,40
2014-04-01,9,0,0,0,0,4,0,0,0,0,0,3,0,0,0,2,50,18,18,0,0,9,1,0,1,7,3,7,0,0,0,0,17,23,8,15,0,2,0,0,0,0,4,0,0,24,0,8,0,0,0,5,3,4,35,0,2,13,25,0,13,2,26,5,31,5,0,5,5,0,8,0,16,14,14,0,14,0,0,6,6,0,0,0,6,31,0,8,4,0,0,11,11,6,6,19,54
2014-05-01,5,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,34,16,8,0,0,5,1,0,1,6,3,3,0,5,5,0,11,25,0,0,7,0,0,0,0,3,0,0,0,8,0,0,0,0,0,3,3,0,29,0,0,12,12,0,0,6,13,0,39,0,0,0,0,8,0,0,12,13,0,0,13,0,0,0,0,6,0,0,6,32,0,5,2,0,20,20,0,0,6,0,45
2014-06-01,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,18,15,10,0,0,4,0,0,1,4,4,4,0,0,0,0,33,58,0,0,0,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2,23,0,0,0,22,0,0,0,12,0,29,6,0,0,6,0,0,0,43,0,0,0,16,0,0,0,0,8,8,0,8,32,0,0,7,0,0,0,0,0,7,0,41
