date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,oklahoma flu,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu type a,flu care,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,flu a symptoms,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,flu in oklahoma,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,signs of flu,over the counter flu medicine,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,tamiflu,treatment for flu,exposed to flu,flu contagious,flu length,bronchitis,stomach flu symptoms,symptoms of bronchitis,what is the flu,oscillococcinum,flu medicine,flu remedies,flu complications,signs of the flu,how to get rid of the flu,body temperature
2013-08-01,4,0,23,0,0,0,0,0,10,16,16,0,0,0,0,31,2,2,2,0,0,4,0,0,1,3,2,2,0,0,0,0,20,0,0,0,8,2,0,0,0,3,0,3,0,19,43,0,0,0,0,9,4,0,11,0,0,8,0,10,4,7,0,6,3,0,0,4,0,6,0,30,0,0,0,0,3,0,1,1,0,0,2,0,24,0,4,0,0,0,0,0,0,0,26
2013-09-01,8,0,0,24,0,0,0,5,5,17,17,0,0,0,0,44,1,4,12,0,0,6,1,0,0,3,0,3,0,4,4,0,15,17,0,0,0,18,0,0,0,3,0,0,3,10,45,0,0,0,0,7,0,0,11,0,0,0,0,12,0,20,6,0,4,0,0,4,0,0,0,26,6,0,0,3,0,0,1,3,0,0,2,0,30,4,0,4,0,0,0,0,0,0,30
2013-10-01,14,0,45,0,0,0,0,0,15,15,15,0,0,0,0,46,3,8,9,0,2,7,0,0,1,8,0,7,0,18,4,0,23,47,0,0,8,44,0,0,0,0,3,6,3,9,19,0,0,0,0,8,0,0,21,0,0,8,0,8,0,12,5,11,4,6,0,11,0,8,0,14,5,3,0,3,19,0,2,3,0,0,5,0,30,4,7,4,0,0,0,7,0,0,49
2013-11-01,12,24,0,24,0,0,5,0,31,16,24,0,16,0,0,55,6,2,7,0,2,8,0,0,2,7,0,2,0,15,0,0,19,16,8,0,0,28,0,0,0,0,4,6,3,25,54,10,0,0,0,13,4,0,11,0,0,12,0,10,4,20,6,6,3,16,0,4,0,11,0,25,0,7,3,3,7,0,2,5,1,0,2,0,26,11,0,0,8,14,0,0,0,0,52
2013-12-01,16,0,38,50,0,0,5,8,11,26,34,0,60,2,0,70,16,4,6,0,3,19,0,0,7,25,4,3,2,8,4,4,26,18,0,26,9,21,0,0,1,3,9,0,5,16,84,11,0,5,0,23,9,12,0,0,0,4,4,19,9,32,15,5,20,8,8,25,0,18,0,27,0,18,4,7,11,2,4,19,1,3,10,0,45,20,4,8,4,29,7,0,7,0,58
2014-01-01,43,0,51,25,0,0,0,5,27,17,34,0,52,2,0,86,29,12,44,0,5,39,0,0,12,44,3,10,4,6,10,4,52,17,0,26,35,46,0,0,1,0,29,13,6,11,37,16,0,7,9,23,14,23,0,12,0,11,6,41,24,39,24,18,29,15,8,52,4,39,0,39,12,39,0,0,25,3,8,38,1,6,22,0,68,20,16,16,4,14,22,0,22,0,76
2014-02-01,15,0,76,25,0,6,0,6,22,17,0,0,0,0,0,60,8,4,10,0,3,16,0,0,3,18,2,3,0,4,8,0,36,70,0,9,18,8,0,0,1,6,10,6,3,16,42,11,0,5,0,14,9,12,58,12,0,11,0,17,7,33,9,3,9,8,0,13,4,15,0,30,6,4,0,4,11,2,6,17,1,0,5,0,47,8,8,12,0,0,7,0,0,11,56
2014-03-01,7,25,25,0,0,0,0,11,0,17,25,0,0,0,0,47,4,8,3,0,0,7,0,0,1,12,4,6,0,4,0,0,16,34,0,0,9,3,0,0,0,6,8,5,5,10,41,0,0,5,0,11,5,0,0,0,0,13,0,11,4,40,3,0,0,4,0,10,0,12,0,30,6,0,0,4,4,1,2,3,2,0,4,0,54,0,12,4,0,0,7,0,0,0,44
2014-04-01,5,0,0,0,0,0,0,6,11,0,18,0,0,0,0,35,1,3,4,0,0,5,1,0,0,7,2,2,0,0,0,0,23,18,0,9,0,1,0,0,0,0,0,0,3,22,38,0,0,0,0,9,0,0,0,0,0,4,0,4,0,17,3,0,3,0,0,4,0,12,0,43,0,4,4,11,7,0,2,2,1,0,2,0,36,4,17,4,0,0,7,0,0,5,38
2014-05-01,4,0,0,0,0,0,0,0,0,21,32,0,0,0,0,33,3,5,3,0,0,2,0,0,1,8,3,4,0,0,0,5,5,11,0,0,0,2,0,0,0,0,8,0,4,26,59,0,0,0,6,6,6,0,0,0,0,13,0,8,5,6,4,7,4,0,0,5,0,0,0,26,8,0,0,0,0,0,0,2,0,0,2,0,28,0,10,15,0,0,9,0,0,0,46
2014-06-01,2,0,0,0,0,0,0,0,0,0,26,0,0,0,0,34,0,4,4,0,4,2,0,0,0,3,3,3,0,0,0,0,18,26,0,13,0,1,0,0,0,0,0,0,0,16,55,0,0,0,0,7,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,9,0,18,0,0,0,5,0,0,3,0,0,0,0,0,18,0,12,0,0,11,0,0,0,0,31
2014-07-01,2,0,0,0,0,8,0,0,8,51,0,0,0,0,0,31,0,4,4,0,0,2,0,0,0,3,0,3,0,0,0,0,6,39,0,0,13,0,0,0,0,0,0,0,0,15,39,0,0,0,0,0,0,0,0,0,0,6,0,13,0,7,0,0,4,12,0,6,0,0,0,13,0,0,0,0,10,0,0,0,0,0,3,0,15,0,12,0,0,11,0,0,0,0,31
